Site_ID,Variable,Start_Date,Height,Instrument_Model,Instrument_Model2,Comment,BASE_Version
BR-CST,H2O,2013,10,GA_OP_SA-Other,,,1-5
BR-CST,H_SSITC_TEST,2013,10,SA-Campbell CSAT-3,,Calculated from the data,1-5
BR-CST,LE,2013,10,GA_OP_SA-Other,SA-Campbell CSAT-3,,1-5
BR-CST,LE_SSITC_TEST,,10,SA-Campbell CSAT-3,,,1-5
BR-CST,MO_LENGTH,,10,SA-Campbell CSAT-3,,Calculated from the data,1-5
BR-CST,NEE_PI,,10,SA-Campbell CSAT-3,GA_OP_SA-Other,Calculated from the data,1-5
BR-CST,NETRAD,2013,10,RAD-Net radiometer,,,1-5
BR-CST,P,2013,10,PREC-TipBucGauge,,,1-5
BR-CST,PA,2013,10,GA_OP_SA-Other,,,1-5
BR-CST,RH,2013,10,GA_OP_SA-Other,,,1-5
BR-CST,SC,,10,GA_OP_SA-Other,,,1-5
BR-CST,SH,2013,10,SA-Campbell CSAT-3,,Calculated from the data,1-5
BR-CST,SLE,2013,10,GA_OP_SA-Other,,Calculated from the data,1-5
BR-CST,SWC,2013,-0.10,SWC-TDR,,,1-5
BR-CST,SW_IN,2013,10,RAD-SW Pyran SecSt,,LI200S,1-5
BR-CST,TA,2013,10,SA-Campbell CSAT-3,,,1-5
BR-CST,TAU,2013,10,SA-Campbell CSAT-3,,Calculated from the data,1-5
BR-CST,TAU_SSITC_TEST,2013,10,SA-Campbell CSAT-3,,Calculated from the data,1-5
BR-CST,TS,2013,-0.10,TEMP-Other,,,1-5
BR-CST,T_SONIC,2013,10,SA-Campbell CSAT-3,,,1-5
BR-CST,USTAR,2013,10,SA-Campbell CSAT-3,,,1-5
BR-CST,VPD_PI,2013,10,GA_OP_SA-Other,,,1-5
BR-CST,WD,2013,10,SA-Campbell CSAT-3,,,1-5
BR-CST,WS,2013,10,SA-Campbell CSAT-3,,,1-5
BR-CST,WS_MAX,2013,10,SA-Campbell CSAT-3,,,1-5
